Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Regular price,Categories,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _alkrona_latin_name,Meta: _alkrona_availability
variable,ALK-0034,Туя западная,1,0,visible,,,1,12.00,Хвойные деревья и кустарники,,0,Горшок,"С1,5 | С5 | С10",1,0,Высота,20-30 | 40-50 | 50-70,1,0,"Thyja occidentalis ""Globosa""",
variation,ALK-0034-01,,1,0,visible,,,1,12.00,,ALK-0034,1,Горшок,"С1,5",,,Высота,20-30,,,,в наличии
variation,ALK-0034-02,,1,0,visible,,,1,25.00,,ALK-0034,2,Горшок,С5,,,Высота,40-50,,,,в наличии
variation,ALK-0034-03,,1,0,visible,,,1,50.00,,ALK-0034,3,Горшок,С10,,,Высота,50-70,,,,в наличии
variable,ALK-0035,Туя западная,1,0,visible,,,1,12.00,Хвойные деревья и кустарники,,0,Горшок,"С1,5 | C5",1,0,Высота,15-20 | 20-30,1,0,"Thyja occidentalis ""Hoseri""",
variation,ALK-0035-01,,1,0,visible,,,1,12.00,,ALK-0035,1,Горшок,"С1,5",,,Высота,15-20,,,,в наличии
variation,ALK-0035-02,,1,0,visible,,,1,25.00,,ALK-0035,2,Горшок,C5,,,Высота,20-30,,,,в наличии
variable,ALK-0036,Туя западная,1,0,visible,,,1,5.00,Хвойные деревья и кустарники,,0,Горшок,"ОКС | Р9 | С1,5",1,0,Высота,250-270 | 10-15 | 15-20,1,0,"Thyja occidentalis ""Smaragd""",
variation,ALK-0036-01,,1,0,visible,,,1,250.00,,ALK-0036,1,Горшок,ОКС,,,Высота,250-270,,,,в наличии
variation,ALK-0036-02,,1,0,visible,,,1,5.00,,ALK-0036,2,Горшок,Р9,,,Высота,10-15,,,,в наличии
variation,ALK-0036-03,,1,0,visible,,,1,8.00,,ALK-0036,3,Горшок,"С1,5",,,Высота,15-20,,,,в наличии
